Column1;Column2;Column3;Column4
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-del-corpo-e-viso/trattamento-viso;6340;1170;1,84543E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/cuffie/cuffie-hi-fi;4647;593;1,27609E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/frigoriferi;12883;1717;1,33276E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-del-corpo-e-viso/rasoi;8259;1743;2,11042E+16
https://www.mediaworld.it/mw/promozioni/promo-index;2301;357;1,5515E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/giochi/merchandise;5887;1048;1,78019E+15
https://www.mediaworld.it/mw/informazioni/landing-bonus-cultura;2290;358;1,56332E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-energia/valvole-termostatiche-smart;4697;631;1,34341E+15
https://www.mediaworld.it/catalogo/foto-e-videocamere/accessori-fotografia/filtri-fotografici;7674;1697;2,21136E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/lavatrici/lavatrici;8882;1695;1,90835E+15
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/preparazione-cibi/spremiagrumi;8093;1719;2,12406E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia;9309;1764;1,89494E+15
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/camping/fornelli-portatili;6262;1174;1,8748E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/microsoft-xbox-one;8138;1689;2,07545E+16
https://www.mediaworld.it/product/p-982138;5025;779;1,55025E+16
https://www.mediaworld.it/catalogo/grandi-elettrodomestici/lavatrici/accessori-lavatrici;7723;1673;2,16626E+16
"https://www.mediaworld.it/search/*?category=&amp;substringFilterCustomKeywords=WEB_braun_serie9_video";21859;5234;2,39444E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/cura-del-corpo-e-viso/massaggiatori;7677;1646;2,14407E+16
https://www.mediaworld.it/mw/mediaworld-it/informazioni/finanziamento;2476;352;1,42165E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/auricolari/auricolari;8416;1713;2,03541E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/monitor-gaming;8183;1701;2,0787E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/ipad/ipad;8020;1683;2,0985E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/acqua/caraffe-e-sistemi-filtranti;7700;1660;2,15584E+16
https://www.mediaworld.it/mw/informazioni/MyWay;2348;368;1,56729E+15
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/droni-e-robot/droni;7811;1689;2,16234E+16
https://www.mediaworld.it/mw/mediaworld-it/contattaci;2334;383;1,64096E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/smart-home-sicurezza;7977;1697;2,12737E+15
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/auricolari/auricolari-bluetooth;8280;1709;2,06401E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/pulizia/lavavetri;5050;739;1,46337E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio-per-auto/subwoofer-auto;4936;686;1,38979E+16
https://www.mediaworld.it/mw/informazioni/candidature;2281;351;1,5388E+16
https://www.mediaworld.it/catalogo/computer-e-smart-home/stampa/scanner;7297;1478;2,02549E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/tv/tv-ultra-hd-4k;8580;1742;2,0303E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio/sveglie-e-stazioni-meteo;7855;1687;2,14768E+16
"https://www.mediaworld.it/mw/Logoff?catalogId=20000&amp;myAcctMain=1&amp;langId=-4&amp;storeId=20000&amp;URL=LogonForm";2250;345;1,53333E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/accessori-pc-gaming;5129;774;1,50907E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/computer/pc-desktop;7822;1585;2,02634E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio-per-auto;8710;1753;2,01263E+16
"https://www.mediaworld.it/mw/OrderCalculate?calculationUsageId=-1&amp;updatePrices=1&amp;catalogId=20000&amp;errorViewName=AjaxOrderItemDisplayView&amp;orderId=.&amp;langId=-4&amp;storeId=20000&amp;URL=AjaxOrderItemDisplayView";2250;345;1,53333E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio-per-auto/amplificatori-auto;4892;680;1,39002E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/audio-per-auto/multimedia-doppio-din;5737;937;1,63326E+14
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/film/dvd;8178;1771;2,16557E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/periferiche-pc-e-accessori/web-cam;6329;1164;1,83915E+16
https://www.mediaworld.it/catalogo/telefonia/apple-watch;8011;1663;2,0759E+15
https://www.mediaworld.it/catalogo/computer-e-smart-home/ufficio;7911;1685;2,12995E+16
https://www.mediaworld.it/catalogo/piccoli-elettrodomestici/caffe/macchine-caffe-americano;5591;923;1,65087E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/decoder/pay-tv;5163;776;1,503E+16
https://www.mediaworld.it/catalogo/film-musica-e-tempo-libero/mobilita-elettrica/monopattini-elettrici;5995;1064;1,77481E+15
https://www.mediaworld.it/product/p-741144;5045;788;1,56194E+15
https://www.mediaworld.it/mw/CouponWallet;2316;376;1,62349E+16
https://www.mediaworld.it/catalogo/console-e-pc-gaming/pc-gaming/giochi-pc;6624;1256;1,89614E+16
https://www.mediaworld.it/catalogo/tv-audio-e-home-cinema/lettori-blu-ray-e-dvd/lettori-dvd;6316;1131;1,79069E+16
https://www.mediaworld.it/mw/informazioni/ritiro-punto-vendita;2464;353;1,43263E+14
https://www.mediaworld.it/catalogo/foto-e-videocamere/obiettivi-reflex;7925;1681;2,12114E+15
